#Gene systematic ID	dummy1	dummy2	FYPO ID
SPBC119.11c			FYPO:0003556
SPBC106.01			FYPO:0001840
SPBC106.01			FYPO:0000228
SPBC106.01			FYPO:0000094
SPBC577.08c			FYPO:0000846
SPBC36.12c			FYPO:0005288
SPBC36.12c			FYPO:0000780
SPBC36.12c			FYPO:0000094
SPBC651.11c			FYPO:0000708
SPBC651.11c			FYPO:0006518
SPBC651.11c			FYPO:0000245
SPBC651.11c			FYPO:0000674
SPBC651.11c			FYPO:0007553
SPBC651.11c			FYPO:0001164
SPBC651.11c			FYPO:0000096
SPBC651.11c			FYPO:0000097
SPBC651.11c			FYPO:0003384
SPBC651.11c			FYPO:0002640
SPBC651.11c			FYPO:0000087
SPBC651.11c			FYPO:0002641
SPBC651.11c			FYPO:0002328
SPBC651.11c			FYPO:0002060
SPBC651.11c			FYPO:0002177
SPBC19C2.05			FYPO:0001514
SPBC19C2.05			FYPO:0001355
SPBC19C2.05			FYPO:0002680
SPBC19C2.05			FYPO:0001147
SPBC19C2.05			FYPO:0000776
SPBC19C2.05			FYPO:0001996
SPBC19C2.05			FYPO:0003858
SPBC19C2.05			FYPO:0000280
SPBC1683.09c			FYPO:0001853
SPBC1683.09c			FYPO:0001857
SPBC27B12.08			FYPO:0000251
SPBC27B12.08			FYPO:0000684
SPBC27B12.08			FYPO:0000708
SPBC27B12.08			FYPO:0000636
SPBC27B12.08			FYPO:0000245
SPBC27B12.08			FYPO:0002640
SPBC27B12.08			FYPO:0007358
SPBC27B12.08			FYPO:0002641
SPBC27B12.08			FYPO:0002328
SPBC27B12.08			FYPO:0002060
SPBC27B12.08			FYPO:0001510
SPAC6F6.16c			FYPO:0002687
SPBC2D10.16			FYPO:0001645
SPBC2D10.16			FYPO:0001740
SPBC2D10.16			FYPO:0006280
SPBC2D10.16			FYPO:0000089
SPAC23A1.12c			FYPO:0002151
SPAC23A1.12c			FYPO:0002061
SPBC4.04c			FYPO:0001277
SPBC4.04c			FYPO:0001424
SPBC4.04c			FYPO:0000705
SPBC4.04c			FYPO:0000783
SPAC17C9.13c			FYPO:0002843
SPNCRNA.383			FYPO:0000799
SPNCRNA.383			FYPO:0007931
SPNCRNA.383			FYPO:0002546
SPCC18B5.11c			FYPO:0002097
SPCC18B5.11c			FYPO:0000088
SPAC17C9.01c			FYPO:0000835
SPCC338.08			FYPO:0000085
SPBC106.03			FYPO:0000636
SPBC106.03			FYPO:0006013
SPBC106.03			FYPO:0000245
SPBC106.03			FYPO:0006014
SPBC106.03			FYPO:0006680
SPBC106.03			FYPO:0002060
SPBC106.03			FYPO:0002177
SPAC31G5.12c			FYPO:0000245
SPAC343.16			FYPO:0000039
SPAC343.16			FYPO:0000245
SPAC343.16			FYPO:0002060
SPAC343.16			FYPO:0002177
SPBC336.12c			FYPO:0002679
SPBC23E6.10c			FYPO:0000245
SPBC23E6.10c			FYPO:0000084
SPBC23E6.10c			FYPO:0006930
SPBC23E6.10c			FYPO:0002060
SPBC23E6.10c			FYPO:0002177
SPCC364.01			FYPO:0000151
SPAC23C4.18c			FYPO:0000266
SPAC23C4.18c			FYPO:0000267
SPAC23C4.18c			FYPO:0000268
SPAC23C4.18c			FYPO:0001234
SPAC977.10			FYPO:0001037
SPAC977.10			FYPO:0001820
SPAC977.10			FYPO:0000833
SPAC607.10			FYPO:0001914
SPAC607.10			FYPO:0000121
SPAC607.10			FYPO:0000583
SPAC607.10			FYPO:0000708
SPAC607.10			FYPO:0000636
SPAC607.10			FYPO:0003563
SPAC607.10			FYPO:0003798
SPAC607.10			FYPO:0003541
SPAC607.10			FYPO:0003845
SPAC607.10			FYPO:0001420
SPAC607.10			FYPO:0000346
SPAC607.10			FYPO:0002060
SPAC607.10			FYPO:0002177
SPBC4.07c			FYPO:0001164
SPBC4.07c			FYPO:0002081
SPAC6C3.02c			FYPO:0002019
SPAC6C3.02c			FYPO:0002060
SPAC6C3.02c			FYPO:0002177
SPCC18.14c			FYPO:0002151
SPCC18.14c			FYPO:0002061
SPAC15E1.09			FYPO:0000151
SPBC29B5.01			FYPO:0001116
SPBC29B5.01			FYPO:0000087
SPCPB16A4.03c			FYPO:0003312
SPAC17G8.04c			FYPO:0001355
SPAC17G8.04c			FYPO:0001357
SPAC4A8.05c			FYPO:0001365
SPAC4A8.05c			FYPO:0004854
SPBC19G7.09			FYPO:0007537
SPCC18B5.08c			FYPO:0002111
SPCC18B5.08c			FYPO:0002061
SPBC32F12.09			FYPO:0005710
SPBC32F12.09			FYPO:0001425
SPBC32F12.09			FYPO:0001407
SPBC32F12.09			FYPO:0003436
SPBC32F12.09			FYPO:0006031
SPBC32F12.09			FYPO:0001974
SPBC32F12.09			FYPO:0001327
SPBC32F12.09			FYPO:0001571
SPBC32F12.09			FYPO:0000833
SPBC32F12.09			FYPO:0000838
SPBC32F12.09			FYPO:0003358
SPBC32F12.09			FYPO:0005440
SPBC21B10.04c			FYPO:0006680
SPBC21B10.04c			FYPO:0002060
SPBC21B10.04c			FYPO:0002177
SPAC222.10c			FYPO:0005055
SPAC222.10c			FYPO:0003165
SPAC222.10c			FYPO:0000316
SPAC222.10c			FYPO:0002515
SPAC222.10c			FYPO:0003005
SPAC222.10c			FYPO:0004657
SPAC222.10c			FYPO:0002061
SPAC222.10c			FYPO:0000284
SPAC222.10c			FYPO:0000280
SPBC428.16c			FYPO:0001029
SPBC365.03c			FYPO:0000059
SPBC365.03c			FYPO:0000245
SPBC365.03c			FYPO:0001492
SPBC365.03c			FYPO:0002060
SPBC244.01c			FYPO:0000059
SPBC244.01c			FYPO:0000314
SPBC244.01c			FYPO:0002061
SPNCRNA.900			FYPO:0000725
SPBC1105.02c			FYPO:0000039
SPCC4B3.15			FYPO:0002061
SPCC4B3.15			FYPO:0000339
SPCC4B3.15			FYPO:0002060
SPBC1711.17			FYPO:0000059
SPBC1711.17			FYPO:0000741
SPBC1711.17			FYPO:0002411
SPBC1711.17			FYPO:0002061
SPBC1711.17			FYPO:0000091
SPAC57A10.10c			FYPO:0001886
SPMTR.01			FYPO:0004174
SPMTR.01			FYPO:0000280
SPBC887.10			FYPO:0003075
SPAC11H11.04			FYPO:0000031
SPAC11H11.04			FYPO:0006534
SPAC11H11.04			FYPO:0000569
SPAC11H11.04			FYPO:0001141
SPAC11H11.04			FYPO:0003847
SPAC11H11.04			FYPO:0002060
SPAC11H11.04			FYPO:0002177
SPAC6B12.11			FYPO:0000453
SPCC70.02c			FYPO:0002060
SPCC70.02c			FYPO:0002177
SPCC645.04			FYPO:0000703
SPAC27E2.09			FYPO:0003412
SPCC16C4.09			FYPO:0001407
SPCC16C4.09			FYPO:0002021
SPCC16C4.09			FYPO:0002377
SPBC3B9.21			FYPO:0003941
SPAC25G10.02			FYPO:0000490
SPAC25G10.02			FYPO:0003667
SPAC25G10.02			FYPO:0003766
SPAC25G10.02			FYPO:0003769
SPAC25G10.02			FYPO:0003768
SPAC694.06c			FYPO:0000088
SPAC27E2.05			FYPO:0001645
SPAC6B12.09			FYPO:0002765
SPCC1739.11c			FYPO:0001355
SPCC1739.11c			FYPO:0002024
SPCC1739.11c			FYPO:0001357
SPCC830.04c			FYPO:0002060
SPCC830.04c			FYPO:0002177
SPAC22A12.02c			FYPO:0000245
SPAC22A12.02c			FYPO:0002060
SPAC22A12.02c			FYPO:0002177
SPBC1734.02c			FYPO:0001571
SPBC1734.02c			FYPO:0002061
SPBC557.03c			FYPO:0003119
SPBC557.03c			FYPO:0001908
SPBC557.03c			FYPO:0004121
SPBC3D6.04c			FYPO:0000030
SPBC3D6.04c			FYPO:0005210
SPBC3D6.04c			FYPO:0000705
SPBC3D6.04c			FYPO:0005211
SPBC3D6.04c			FYPO:0003762
SPBC3D6.04c			FYPO:0005212
SPBC3D6.04c			FYPO:0002901
SPBC3D6.04c			FYPO:0002563
SPBC3D6.04c			FYPO:0000091
SPBC3D6.04c			FYPO:0005069
SPBC4F6.09			FYPO:0001854
SPCC306.09c			FYPO:0000082
SPCC306.09c			FYPO:0000760
SPCC306.09c			FYPO:0000590
SPCC306.09c			FYPO:0001357
SPCC306.09c			FYPO:0001234
SPCC757.09c			FYPO:0002134
SPBC21C3.03			FYPO:0000684
SPBC21C3.03			FYPO:0009007
SPBC21C3.03			FYPO:0001309
SPBC21C3.03			FYPO:0004163
SPBC21C3.03			FYPO:0000238
SPBC21C3.03			FYPO:0000245
SPBC21C3.03			FYPO:0005231
SPBC21C3.03			FYPO:0006660
SPBC21C3.03			FYPO:0004162
SPBC21C3.03			FYPO:0009033
SPBC21C3.03			FYPO:0000725
SPBC21C3.03			FYPO:0007926
SPBC21C3.03			FYPO:0000099
SPBC21C3.03			FYPO:0000799
SPBC21C3.03			FYPO:0007931
SPBC21C3.03			FYPO:0000087
SPBC21C3.03			FYPO:0000088
SPBC21C3.03			FYPO:0001719
SPBC21C3.03			FYPO:0000089
SPBC21C3.03			FYPO:0007924
SPBC21C3.03			FYPO:0002546
SPBC21C3.03			FYPO:0003656
SPBC21C3.03			FYPO:0002060
SPBC21C3.03			FYPO:0002177
SPCC188.06c			FYPO:0001357
SPAC22E12.09c			FYPO:0001668
SPCC962.02c			FYPO:0003165
SPCC962.02c			FYPO:0003286
SPCC962.02c			FYPO:0004101
SPAC977.03			FYPO:0002060
SPAC977.03			FYPO:0002177
SPNCRNA.98			FYPO:0001042
SPNCRNA.98			FYPO:0002061
SPAC1782.09c			FYPO:0001424
SPAC22H10.08			FYPO:0001309
SPAC22H10.08			FYPO:0002060
SPAC22H10.08			FYPO:0002177
SPAC328.09			FYPO:0002634
SPAC328.09			FYPO:0002060
SPAC328.09			FYPO:0002177
SPCC794.07			FYPO:0000059
SPCC794.07			FYPO:0000035
SPCC794.07			FYPO:0000245
SPCC794.07			FYPO:0001245
SPCC794.07			FYPO:0001492
SPCC794.07			FYPO:0002060
SPAC4F10.19c			FYPO:0000245
SPAC4F10.19c			FYPO:0001098
SPAC4F10.19c			FYPO:0006930
SPAC4F10.19c			FYPO:0002060
SPAC4F10.19c			FYPO:0002177
SPAC17A5.07c			FYPO:0000288
SPAC17A5.07c			FYPO:0001317
SPAC1B3.17			FYPO:0003216
SPAC1B3.17			FYPO:0002827
SPBC11C11.07			FYPO:0000245
SPBC11C11.07			FYPO:0004325
SPBC11C11.07			FYPO:0002060
SPBC11C11.07			FYPO:0002177
SPBP23A10.08			FYPO:0002113
SPBC26H8.10			FYPO:0004811
SPBC26H8.10			FYPO:0003049
SPBC26H8.10			FYPO:0001234
SPAC20G8.01			FYPO:0001424
SPAC20G8.01			FYPO:0003768
SPAC20G8.01			FYPO:0001357
SPAC1486.01			FYPO:0001164
SPAC1486.01			FYPO:0002691
SPBC16D10.03			FYPO:0002060
SPBC16D10.03			FYPO:0002177
SPAC7D4.14c			FYPO:0003748
SPAC7D4.14c			FYPO:0003042
SPAC7D4.14c			FYPO:0000080
SPAC7D4.14c			FYPO:0003230
SPAC7D4.14c			FYPO:0001645
SPAC7D4.14c			FYPO:0001355
SPAC7D4.14c			FYPO:0003557
SPAC7D4.14c			FYPO:0002960
SPAC7D4.14c			FYPO:0002173
SPAC7D4.14c			FYPO:0006518
SPAC7D4.14c			FYPO:0000245
SPAC7D4.14c			FYPO:0000674
SPAC7D4.14c			FYPO:0002567
SPAC7D4.14c			FYPO:0007553
SPAC7D4.14c			FYPO:0001164
SPAC7D4.14c			FYPO:0003235
SPAC7D4.14c			FYPO:0001357
SPAC7D4.14c			FYPO:0002060
SPAC7D4.14c			FYPO:0002177
SPAC6F6.16c			FYPO:0000703
SPBC646.14c			FYPO:0003763
SPCC18B5.01c			FYPO:0001908
SPCC18B5.01c			FYPO:0001309
SPCC18B5.01c			FYPO:0001522
SPCC18B5.01c			FYPO:0001236
SPCC18B5.01c			FYPO:0003852
